entry_time,exit_time,direction,confidence,entry,exit,pnl,balance,reason,rr
2026-05-04 02:00:00,2026-05-04 10:00:00,LONG,0.773,79755.9,79197.77930496274,-75.0,925.0,SL,2.6666666666666927
2026-05-05 02:45:00,2026-05-05 03:00:00,LONG,0.868,80770.4,80470.40986325193,-69.375,855.625,SL,2.6666666666667154
